display  D   display_settings.c:191  debug_display_settings           [   0.08798] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08799] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08800] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08802] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08803] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08804] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08805] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08807] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08808] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08810] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08811] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08812] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08813] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08814] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08815] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08817] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08818] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08819] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08820] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08827] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08829] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08831] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08833] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08835] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08837] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08838] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08840] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08842] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08844] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08845] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08847] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08849] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08851] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08854] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08856] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
